,Unnamed: 0,Name,All-Star Year,Age,Team,League,Position,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,First Appearance
157,157,LeBron James,2017,32,CLE,NBA,SF,74,74,37.8,9.9,18.2,0.5479999999999999,1.7,4.6,.363,8.3,13.5,0.611,0.594,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,12,False
158,158,Jimmy Butler,2017,27,CHI,NBA,SF,76,75,37.0,7.5,16.5,0.455,1.2,3.3,.367,6.3,13.2,0.47700000000000004,0.49200000000000005,7.7,8.9,0.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,1,False
159,159,Paul George,2017,26,IND,NBA,SF,75,75,35.9,8.3,18.0,0.461,2.6,6.6,.393,5.7,11.4,0.501,0.534,4.5,5.0,0.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7,3,False
160,160,John Wall,2017,26,WAS,NBA,PG,78,78,36.4,8.3,18.4,0.451,1.1,3.5,.327,7.2,14.9,0.48,0.48200000000000004,5.4,6.8,0.8009999999999999,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,23.1,3,False
161,161,Kemba Walker,2017,26,CHO,NBA,PG,79,79,34.7,8.1,18.3,0.444,3.0,7.6,.399,5.1,10.7,0.47600000000000003,0.527,3.8,4.5,0.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,0,True
162,162,Carmelo Anthony,2017,32,NYK,NBA,SF,74,74,34.3,8.1,18.8,0.433,2.0,5.7,.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,9,False
163,163,Isaiah Thomas,2017,27,BOS,NBA,PG,76,76,33.8,9.0,19.4,0.46299999999999997,3.2,8.5,.379,5.8,10.9,0.528,0.546,7.8,8.5,0.909,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9,1,False
164,164,Kyle Lowry,2017,30,TOR,NBA,PG,60,60,37.4,7.1,15.3,0.46399999999999997,3.2,7.8,.412,3.9,7.5,0.518,0.569,5.0,6.1,0.8190000000000001,0.8,4.0,4.8,7.0,1.5,0.3,2.9,2.8,22.4,2,False
165,165,Paul Millsap,2017,31,ATL,NBA,PF,69,67,34.0,6.2,14.1,0.442,1.1,3.5,.311,5.1,10.6,0.486,0.48100000000000004,4.5,5.9,0.768,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,18.1,3,False
166,166,Stephen Curry,2016,27,GSW,NBA,PG,79,79,34.2,10.2,20.2,0.504,5.1,11.2,.454,5.1,9.0,0.5660000000000001,0.63,4.6,5.1,0.9079999999999999,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,2,False
