,Year,Name,Age,Team,Position,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star,Unbiased % All Star,Change
0,2025,Nikola Jokić,29,DEN,C,82,82,37.7,10.8,19.3,.560,2.7,4.5,.593,8.2,14.8,.551,.629,5.5,6.8,.805,3.8,8.5,12.3,9.8,1.5,1.0,3.3,2.0,29.8,6,.500,1.544041450777202,99.89,99.66,=
1,2025,Anthony Davis,31,LAL,PF,82,82,35.8,11.2,19.5,.573,0.3,1.3,.250,10.8,18.2,.596,.581,9.2,11.7,.786,2.3,9.7,12.0,2.8,1.8,2.0,2.3,1.0,31.8,7,.667,1.6307692307692307,99.88,99.56,=
2,2025,LeBron James,40,LAL,SF,82,82,34.0,7.8,15.8,.495,2.5,5.7,.441,5.3,10.2,.525,.574,4.0,5.3,.750,0.2,6.5,6.7,7.2,0.3,0.5,2.8,1.8,22.2,20,.667,1.4050632911392404,99.58,85.93,=
3,2025,Kevin Durant,36,PHO,SF,82,82,39.3,9.0,17.3,.519,2.5,5.7,.441,6.5,11.7,.557,.591,5.3,6.7,.800,0.2,6.8,7.0,3.0,0.8,1.5,3.3,1.8,25.8,11,.833,1.4913294797687862,98.37,88.96,=
4,2025,Devin Booker,28,PHO,SG,82,82,36.3,8.2,17.7,.462,3.3,8.3,.400,4.8,9.3,.518,.557,7.0,8.0,.875,1.2,3.0,4.2,5.7,1.2,0.3,2.0,2.5,26.7,3,.833,1.5084745762711864,95.96,93.21,+1
5,2025,Shai Gilgeous-Alexander,26,OKC,SG,82,82,31.5,9.5,20.2,.471,2.0,7.2,.279,7.5,13.0,.577,.521,5.5,6.0,.917,1.2,5.5,6.7,6.5,1.8,1.2,1.8,1.7,26.5,2,1.000,1.311881188118812,95.77,94.0,+1
6,2025,Kyrie Irving,32,DAL,PG,82,82,35.5,8.5,17.8,.477,3.3,5.7,.588,5.2,12.2,.425,.570,3.0,3.5,.857,1.5,2.7,4.2,5.2,1.5,0.3,1.7,2.3,23.3,8,.667,1.3089887640449438,95.57,83.28,-2
7,2025,Stephen Curry,36,GSW,PG,79,79,26.3,5.7,13.7,.415,3.7,9.0,.407,2.0,4.7,.429,.549,3.3,3.3,1.000,0.0,5.3,5.3,6.7,2.0,0.3,3.7,1.3,18.3,9,.833,1.3357664233576643,93.08,72.13,=
8,2025,Luka Dončić,25,DAL,PG,82,82,36.3,9.8,24.3,.404,3.2,10.2,.311,6.7,14.2,.471,.469,5.2,6.8,.756,0.7,7.8,8.5,6.2,0.8,0.5,2.7,3.7,28.0,5,.667,1.1522633744855966,92.29,82.73,+2
9,2025,James Harden,35,LAC,SG,82,82,35.5,6.5,18.0,.361,2.5,9.3,.268,4.0,8.7,.462,.431,6.3,7.3,.864,0.7,8.2,8.8,10.8,1.7,1.0,5.5,2.5,21.8,9,.333,1.2111111111111112,89.94,63.24,-1
