,Year,Name,Age,Team,Position,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star,Unbiased % All Star,Change
19,2025,Nikola Vučević,34,CHI,C,82,82,32.5,8.6,14.4,.599,1.8,4.1,.453,6.8,10.3,.657,.663,1.9,2.2,.862,2.4,7.6,10.0,3.1,0.7,0.8,1.8,2.4,21.0,2,.385,1.4583333333333333,35.14,27.3,-3
20,2025,Cam Thomas,23,BRK,SG,82,82,34.2,8.5,18.3,.462,3.0,7.5,.398,5.5,10.8,.507,.544,5.4,6.1,.886,0.3,2.9,3.2,3.1,0.8,0.1,2.8,2.2,25.3,0,.385,1.3825136612021858,33.31,33.31,+6
21,2025,Derrick White,30,BOS,SG,82,82,34.3,6.5,14.1,.462,3.8,9.4,.405,2.7,4.7,.576,.596,2.1,2.5,.857,1.1,3.4,4.5,4.3,0.9,1.1,1.5,2.5,18.9,0,.786,1.3404255319148934,31.2,31.2,-2
22,2025,Jimmy Butler,35,MIA,PF,79,79,30.5,5.4,11.3,.478,0.3,1.6,.154,5.1,9.6,.532,.489,5.1,7.0,.732,2.6,2.1,4.8,4.9,1.5,0.3,1.8,1.5,16.1,4,.455,1.424778761061947,30.52,17.44,+1
23,2025,Pascal Siakam,30,IND,PF,82,82,33.7,7.8,14.3,.547,2.2,4.8,.456,5.7,9.6,.591,.622,2.1,2.8,.758,1.8,4.7,6.4,4.1,0.7,0.2,1.3,2.7,19.9,2,.417,1.3916083916083914,28.15,21.36,-8
24,2025,Zach LaVine,29,CHI,SF,79,79,34.9,8.1,15.8,.513,2.9,7.1,.408,5.2,8.7,.598,.604,2.8,3.8,.737,0.3,4.9,5.2,4.3,0.8,0.5,3.4,1.7,21.9,2,.385,1.3860759493670884,24.96,18.74,-6
25,2025,Jordan Poole,25,WAS,SG,82,82,30.5,7.4,16.2,.455,3.6,8.2,.444,3.7,8.0,.466,.567,3.8,4.2,.913,0.3,2.0,2.3,4.5,2.3,0.6,3.5,3.5,22.2,0,.182,1.3703703703703705,22.78,22.78,+3
26,2025,RJ Barrett,24,TOR,SG,79,79,34.0,7.9,19.6,.403,1.9,6.0,.318,6.0,13.6,.440,.451,4.0,5.8,.688,0.9,5.3,6.2,6.6,1.0,0.3,3.1,2.6,21.7,0,.143,1.107142857142857,21.1,21.1,n/a
27,2025,Dennis Schröder,31,BRK,PG,82,82,34.5,6.5,14.0,.467,2.9,6.8,.432,3.6,7.2,.500,.571,2.8,3.3,.860,0.2,2.8,3.0,6.1,1.4,0.0,2.3,2.5,18.8,0,.385,1.342857142857143,17.74,17.74,-2
28,2025,Josh Giddey,22,CHI,PG,82,82,27.8,4.5,10.8,.418,1.4,3.5,.400,3.2,7.4,.427,.482,2.1,3.2,.659,1.3,4.7,6.0,6.5,0.8,0.2,2.5,1.5,12.5,0,.385,1.1574074074074074,15.61,15.61,-4
29,2025,Coby White,24,CHI,SG,82,82,33.5,6.6,14.9,.443,3.6,9.3,.388,3.0,5.6,.534,.564,3.5,4.0,.885,0.2,3.2,3.4,4.8,1.5,0.2,3.0,2.6,20.4,0,.385,1.3691275167785233,14.15,14.15,n/a
