,Year,Name,Position,Age,Team,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star,Unbiased % All Star,Change
200,2024,Vasilije Micić,PG,30,OKC,62,44,12.3,1.2,3.2,.379,0.4,1.8,.219,0.8,1.4,.577,.440,0.3,0.4,.750,0.1,0.7,0.8,2.9,0.4,0.2,0.7,1.1,3.2,0,.711,1.0,0.09,0.09,=
201,2024,Buddy Hield,SF,31,IND,82,61,25.6,4.7,10.7,.438,2.8,7.4,.376,1.9,3.3,.574,.567,0.6,0.7,.852,0.7,2.5,3.2,2.5,0.8,0.6,1.4,2.0,12.7,0,.590,1.1869158878504673,0.09,0.09,=
202,2024,Scoot Henderson,PG,19,POR,73,58,28.2,4.6,12.7,.364,1.3,4.2,.304,3.4,8.6,.393,.414,2.2,3.0,.725,1.0,2.2,3.1,5.0,0.7,0.2,3.3,3.4,12.7,0,.256,1.0,0.09,0.09,=
203,2024,Reggie Jackson,PG,33,DEN,82,55,23.3,4.7,10.0,.470,1.4,3.7,.379,3.3,6.3,.523,.540,1.0,1.3,.741,0.4,1.7,2.1,4.3,0.6,0.2,1.5,1.9,11.8,0,.683,1.1800000000000002,0.09,0.09,=
204,2024,Luke Kennard,SG,27,MEM,59,47,22.5,3.1,7.2,.426,2.3,5.5,.409,0.8,1.7,.481,.583,0.7,0.7,1.000,0.4,2.9,3.3,2.5,0.4,0.1,0.6,1.1,9.1,0,.359,1.2638888888888888,0.09,0.09,=
210,2024,Simone Fontecchio,SF,28,UTA,80,64,22.5,3.2,7.1,.444,1.8,4.6,.389,1.4,2.5,.546,.570,0.7,0.9,.771,0.9,2.2,3.2,1.3,0.6,0.4,1.1,1.7,8.8,0,.512,1.23943661971831,0.08,0.08,=
208,2024,P.J. Tucker,PF,38,LAC,58,46,15.9,0.4,1.3,.316,0.3,1.1,.313,0.1,0.2,.333,.447,0.2,0.2,1.000,1.1,1.8,2.9,0.5,0.6,0.2,0.3,2.3,1.3,0,.641,1.0,0.08,0.08,=
209,2024,Richaun Holmes,C,30,DAL,59,43,10.1,1.4,2.7,.500,0.0,0.0,0,1.4,2.7,.500,.500,0.5,1.1,.500,1.5,2.1,3.6,0.5,0.1,0.4,0.6,1.3,3.2,0,.575,1.1851851851851851,0.08,0.08,=
205,2024,Jamal Cain,PF,24,MIA,57,44,14.9,2.1,4.7,.439,0.6,1.8,.320,1.5,2.9,.512,.500,1.0,1.4,.737,0.9,1.2,2.1,0.2,0.6,0.3,0.3,1.1,5.7,0,.590,1.2127659574468086,0.08,0.08,=
207,2024,Xavier Tillman Sr.,C,25,MEM,70,53,19.8,2.6,6.3,.418,0.4,1.7,.244,2.2,4.6,.480,.450,0.5,1.2,.394,1.7,3.1,4.8,1.5,1.2,0.9,0.9,1.7,6.1,0,.359,0.9682539682539683,0.08,0.08,=
