,Year,Name,Position,Age,Team,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star,Unbiased % All Star,Change
258,2024,Paul Reed,C,24,PHI,82,53,15.6,2.5,4.6,.547,0.2,0.5,.333,2.4,4.1,.572,.565,0.7,0.9,.735,1.9,2.8,4.6,1.2,0.7,0.7,0.8,2.3,5.9,0,.649,1.282608695652174,0.03,0.03,=
260,2024,Otto Porter Jr.,SF,30,TOR,58,44,11.6,0.9,2.2,.424,0.5,1.5,.348,0.4,0.7,.600,.545,0.2,0.2,1.000,0.4,1.5,1.9,0.5,0.3,0.3,0.1,1.3,2.6,0,.385,1.1818181818181817,0.03,0.03,=
259,2024,Oshae Brissett,SF,25,BOS,66,43,12.0,1.3,2.9,.455,0.4,1.3,.310,0.9,1.6,.568,.523,0.9,1.4,.656,1.1,1.9,3.0,0.6,0.5,0.0,0.2,1.1,3.9,0,.769,1.3448275862068966,0.03,0.03,=
261,2024,Chris Duarte,SF,26,SAC,77,54,13.5,1.3,3.7,.360,0.6,2.0,.313,0.7,1.7,.414,.444,0.5,0.7,.750,0.4,1.5,1.9,0.9,0.5,0.1,0.6,1.8,3.8,0,.590,1.027027027027027,0.03,0.03,=
257,2024,Jordan Hawkins,SG,21,NOP,77,52,22.0,3.5,8.8,.401,2.1,5.7,.379,1.4,3.2,.441,.523,1.5,1.8,.841,0.6,2.2,2.8,1.5,0.3,0.1,0.8,1.5,10.7,0,.600,1.2159090909090908,0.03,0.03,=
255,2024,Dyson Daniels,PG,20,NOP,82,56,22.9,2.4,5.4,.435,0.7,2.4,.287,1.7,3.1,.549,.498,0.8,1.2,.646,1.0,2.9,3.9,2.8,1.4,0.3,0.9,1.7,6.2,0,.600,1.1481481481481481,0.03,0.03,=
254,2024,Justin Holiday,SG,34,DEN,65,47,13.5,1.4,2.8,.493,0.9,2.0,.447,0.5,0.8,.600,.649,0.0,0.0,0,0.2,1.0,1.2,1.0,0.6,0.0,0.3,1.2,3.6,0,.683,1.2857142857142858,0.03,0.03,=
256,2024,Jonathan Isaac,PF,26,ORL,65,43,13.6,2.2,4.9,.449,0.6,2.1,.277,1.6,2.7,.583,.509,1.4,1.8,.775,1.2,3.0,4.1,0.4,0.8,1.2,0.5,1.4,6.4,0,.538,1.3061224489795917,0.03,0.03,=
273,2024,Joe Harris,SG,32,DET,57,43,10.9,0.9,2.6,.361,0.7,2.1,.345,0.2,0.5,.429,.500,0.1,0.1,.500,0.2,0.7,0.9,0.6,0.2,0.1,0.2,1.3,2.6,0,.077,1.0,0.02,0.02,=
282,2024,Robert Covington,SF-PF,33,PHI,74,51,16.8,1.5,3.4,.439,0.7,1.9,.339,0.8,1.4,.571,.536,0.8,0.9,.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4,0,.649,1.2941176470588236,0.02,0.02,=
281,2024,Torrey Craig,SF,33,CHI,68,48,21.2,2.2,5.1,.424,1.1,2.8,.382,1.1,2.3,.476,.529,0.7,0.9,.783,1.9,3.0,4.8,1.0,0.6,0.4,0.6,2.5,6.1,0,.463,1.196078431372549,0.02,0.02,=
280,2024,Gradey Dick,SG,20,TOR,63,44,12.4,1.0,3.6,.282,0.6,2.3,.239,0.5,1.3,.360,.359,0.8,0.8,1.000,0.4,0.8,1.2,0.9,0.3,0.0,0.6,1.3,3.3,0,.385,0.9166666666666666,0.02,0.02,=
279,2024,Kevin Knox,SF,24,DET,64,49,18.7,3.4,6.8,.500,1.3,3.5,.365,2.1,3.2,.647,.595,0.7,0.8,.882,0.6,1.9,2.5,0.8,0.5,0.3,0.7,1.6,8.8,0,.077,1.2941176470588236,0.02,0.02,=
278,2024,Nickeil Alexander-Walker,SG,25,MIN,82,55,22.3,2.3,5.6,.414,1.4,3.8,.358,1.0,1.8,.528,.534,0.4,0.6,.696,0.4,1.3,1.7,2.4,0.9,0.6,0.9,1.9,6.4,0,.718,1.142857142857143,0.02,0.02,=
276,2024,Santi Aldama,PF,23,MEM,72,48,23.2,3.9,9.0,.438,1.6,4.6,.341,2.4,4.4,.539,.525,1.0,1.6,.609,1.3,4.2,5.5,1.7,0.7,0.7,1.1,1.6,10.4,0,.359,1.1555555555555557,0.02,0.02,=
275,2024,Kenrich Williams,PF,29,OKC,71,44,15.4,1.8,3.7,.480,0.8,1.9,.431,1.0,1.8,.531,.590,0.1,0.4,.300,0.7,2.1,2.8,1.6,0.5,0.1,0.4,1.6,4.5,0,.711,1.2162162162162162,0.02,0.02,=
274,2024,Vince Williams Jr.,SG,23,MEM,72,53,22.5,1.9,5.1,.374,1.2,3.7,.340,0.7,1.4,.463,.497,1.2,1.5,.818,1.2,4.0,5.2,2.0,0.6,0.6,1.0,2.3,6.3,0,.359,1.2352941176470589,0.02,0.02,=
277,2024,Andre Drummond,C,30,CHI,82,48,15.9,3.0,5.6,.537,0.0,0.0,.000,3.0,5.6,.541,.537,1.4,2.6,.551,3.3,5.1,8.5,0.6,1.1,0.6,1.1,1.8,7.5,2,.463,1.3392857142857144,0.02,0.02,=
272,2024,Joe Ingles,SF,36,ORL,68,43,18.3,1.7,4.2,.413,1.1,2.7,.418,0.6,1.5,.405,.548,0.7,0.8,.850,0.4,2.2,2.6,3.5,0.8,0.1,0.9,1.6,5.2,0,.538,1.2380952380952381,0.02,0.02,=
270,2024,Isaiah Hartenstein,C,25,NYK,82,56,24.8,2.6,4.3,.613,0.0,0.1,.333,2.6,4.2,.618,.616,1.4,2.1,.691,3.3,4.9,8.2,1.8,1.2,1.2,1.2,2.9,6.7,0,.590,1.558139534883721,0.02,0.02,=
269,2024,Tim Hardaway Jr.,SF,31,DAL,79,48,29.4,6.1,14.4,.419,3.2,8.8,.359,2.9,5.6,.514,.529,2.4,2.8,.863,0.3,3.4,3.7,1.7,0.4,0.0,0.8,1.5,17.6,0,.575,1.2222222222222223,0.02,0.02,=
268,2024,Malik Monk,SG,25,SAC,81,43,26.0,5.2,11.8,.440,2.6,6.5,.397,2.6,5.3,.493,.549,2.4,2.8,.849,0.4,2.3,2.6,5.4,0.6,0.7,2.1,1.9,15.3,0,.590,1.2966101694915253,0.02,0.02,=
267,2024,Wesley Matthews,SG,37,ATL,63,45,11.2,0.5,2.1,.256,0.3,1.6,.200,0.2,0.5,.444,.333,0.7,1.0,.737,0.2,1.2,1.4,0.6,0.5,0.2,0.3,1.4,2.1,0,.395,1.0,0.02,0.02,=
266,2024,Ibou Badji,C,21,POR,53,44,14.7,0.8,1.4,.571,0.0,0.0,0,0.8,1.4,.571,.571,0.3,0.6,.500,1.7,2.4,4.1,0.8,0.2,1.4,0.9,3.2,1.9,0,.256,1.3571428571428572,0.02,0.02,=
265,2024,Josh Okogie,SG,25,PHO,76,54,19.1,1.6,4.1,.397,0.5,1.9,.234,1.2,2.2,.542,.452,1.8,2.3,.763,1.3,1.5,2.8,1.3,1.0,0.5,0.6,1.6,5.5,0,.538,1.3414634146341464,0.02,0.02,=
264,2024,Kobe Brown,PF,24,LAC,68,43,10.0,0.9,2.2,.393,0.4,1.4,.306,0.4,0.8,.550,.491,0.0,0.1,.500,0.2,1.2,1.4,0.6,0.2,0.1,0.2,1.5,2.2,0,.641,1.0,0.02,0.02,=
263,2024,Daniel Theis,C,31,LAC,72,44,16.7,2.5,5.0,.507,0.4,0.9,.444,2.1,4.0,.521,.549,0.9,1.3,.730,1.5,2.0,3.5,0.9,0.5,0.8,0.6,2.3,6.4,0,.641,1.28,0.02,0.02,=
271,2024,Nathan Mensah,C,25,CHO,58,45,13.8,0.6,1.5,.421,0.0,0.0,0,0.6,1.5,.421,.421,0.5,0.8,.700,1.3,2.1,3.4,0.3,0.3,0.5,0.7,2.8,1.8,0,.216,1.2,0.02,0.02,=
317,2024,Trayce Jackson-Davis,PF,23,GSW,72,46,14.6,3.0,4.3,.698,0.0,0.0,0,3.0,4.3,.698,.698,1.2,1.9,.618,1.8,2.6,4.4,1.0,0.4,0.8,0.8,1.7,7.2,0,.462,1.6744186046511629,0.01,0.01,=
323,2024,Sam Hauser,SF,26,BOS,81,47,22.1,2.9,6.7,.443,2.4,5.7,.413,0.6,0.9,.629,.621,0.3,0.3,.846,0.7,2.9,3.7,0.9,0.4,0.3,0.5,1.5,8.6,0,.769,1.2835820895522387,0.01,0.01,=
322,2024,Caleb Houstan,SF,21,ORL,73,47,15.9,1.7,4.3,.406,1.5,4.0,.378,0.2,0.3,.778,.582,0.4,0.5,.813,0.6,1.3,1.8,0.7,0.3,0.0,0.4,1.2,5.4,0,.538,1.2558139534883723,0.01,0.01,=
320,2024,Nassir Little,SF,23,PHO,67,45,15.2,1.9,3.8,.489,0.7,2.1,.320,1.2,1.8,.690,.576,0.7,0.8,.850,0.6,1.9,2.5,0.7,0.4,0.3,0.5,1.3,5.1,0,.538,1.3421052631578947,0.01,0.01,=
319,2024,Ziaire Williams,SF,22,MEM,80,51,18.9,2.9,7.1,.406,1.2,3.5,.338,1.7,3.5,.473,.490,1.1,1.3,.854,0.7,2.8,3.5,1.4,0.5,0.2,1.2,1.6,8.0,0,.359,1.1267605633802817,0.01,0.01,=
318,2024,Danuel House Jr.,SF,30,PHI,68,45,12.5,1.1,2.7,.419,0.5,1.4,.333,0.7,1.3,.517,.508,0.7,0.9,.762,0.3,1.0,1.3,0.8,0.3,0.0,0.6,0.9,3.4,0,.649,1.259259259259259,0.01,0.01,=
312,2024,Dario Šarić,C,29,GSW,82,49,20.8,3.6,7.6,.480,1.5,3.8,.389,2.2,3.8,.571,.578,1.6,1.9,.842,1.5,4.2,5.6,2.4,0.6,0.2,1.2,2.2,10.4,0,.462,1.368421052631579,0.01,0.01,=
316,2024,Garrison Mathews,SG,27,ATL,68,47,11.9,1.0,2.3,.463,1.0,2.1,.451,0.1,0.1,.667,.676,0.0,0.2,.000,0.2,0.9,1.1,0.4,0.3,0.1,0.4,1.5,3.0,0,.395,1.3043478260869565,0.01,0.01,=
315,2024,Kyle Anderson,PF,30,MIN,82,45,22.9,2.6,5.5,.474,0.1,0.7,.154,2.5,4.8,.519,.484,1.4,2.0,.684,0.7,2.9,3.6,3.8,0.8,0.6,1.4,1.6,6.7,0,.718,1.2181818181818183,0.01,0.01,=
314,2024,John Konchar,SF,27,MEM,74,45,16.2,1.1,3.1,.347,0.6,2.0,.290,0.5,1.1,.455,.442,0.3,0.4,.818,1.0,2.8,3.8,1.3,0.7,0.7,0.4,0.9,3.0,0,.359,0.9677419354838709,0.01,0.01,=
313,2024,Trey Lyles,PF,28,SAC,68,43,20.8,2.5,5.5,.457,1.6,4.1,.402,0.9,1.4,.611,.605,0.8,1.3,.625,1.0,4.0,5.0,1.4,0.1,0.3,0.6,1.7,7.5,0,.590,1.3636363636363635,0.01,0.01,=
325,2024,Isaiah Jackson,C,22,IND,74,44,14.2,3.0,4.4,.689,0.0,0.1,.000,3.0,4.3,.699,.689,1.4,1.9,.700,1.5,2.7,4.3,0.9,0.7,1.3,0.7,2.8,7.4,0,.590,1.6818181818181817,0.01,0.01,=
324,2024,Trendon Watford,PF,23,BRK,71,44,13.0,2.6,4.7,.548,0.3,0.9,.348,2.3,3.8,.592,.579,0.9,1.1,.828,1.0,2.2,3.2,1.7,0.5,0.3,0.9,1.7,6.3,0,.421,1.3404255319148934,0.01,0.01,=
337,2024,Yuta Watanabe,SF,29,PHO,68,43,14.6,1.2,3.7,.337,0.9,2.9,.315,0.3,0.8,.421,.462,0.4,0.6,.667,0.4,1.3,1.7,0.4,0.3,0.3,0.6,1.3,3.8,0,.538,1.027027027027027,0.01,0.01,=
326,2024,Luke Kornet,C,28,BOS,69,44,14.0,2.0,3.0,.679,0.0,0.0,0,2.0,3.0,.679,.679,0.8,0.9,.875,1.8,1.7,3.5,0.8,0.4,0.9,0.4,1.3,4.9,0,.769,1.6333333333333335,0.01,0.01,=
327,2024,Isaiah Livers,PF,25,DET,66,49,20.4,1.7,5.0,.345,1.0,3.3,.286,0.8,1.7,.462,.440,0.5,0.8,.667,0.7,1.4,2.1,1.1,0.6,0.2,0.7,1.9,5.0,0,.077,1.0,0.01,0.01,=
328,2024,Charles Bassey,C,23,SAS,63,44,10.8,1.5,2.1,.725,0.0,0.1,.000,1.5,2.1,.744,.725,0.3,0.3,.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,1.6,3.3,0,.184,1.5714285714285712,0.01,0.01,=
329,2024,Andre Jackson Jr.,SG,22,MIL,76,49,11.0,1.0,2.0,.515,0.4,1.0,.394,0.6,1.0,.629,.610,0.2,0.2,.857,0.9,1.1,2.0,1.0,0.3,0.1,0.5,1.9,2.6,0,.700,1.3,0.01,0.01,=
330,2024,Gary Harris,SG,29,ORL,70,49,22.8,2.4,5.7,.429,1.3,4.0,.333,1.1,1.7,.652,.545,0.9,1.1,.774,0.5,1.2,1.7,1.9,0.9,0.2,0.5,1.7,7.1,0,.538,1.2456140350877192,0.01,0.01,=
331,2024,Jaylin Williams,C,21,OKC,75,44,11.7,1.2,3.1,.381,0.7,2.0,.349,0.5,1.1,.441,.495,0.5,0.5,.933,0.4,2.7,3.2,1.4,0.4,0.2,0.4,1.5,3.5,0,.711,1.129032258064516,0.01,0.01,=
332,2024,Cason Wallace,SG,20,OKC,82,50,21.4,2.6,5.1,.503,1.1,2.6,.400,1.5,2.5,.611,.605,0.5,0.6,.826,0.6,1.6,2.2,1.5,0.6,0.4,0.5,1.7,6.7,0,.711,1.3137254901960786,0.01,0.01,=
333,2024,Chimezie Metu,C,26,PHO,72,48,13.2,2.1,4.0,.522,0.5,1.7,.306,1.6,2.3,.682,.587,1.2,1.3,.872,0.7,2.3,3.0,0.5,0.6,0.3,0.8,1.1,5.8,0,.538,1.45,0.01,0.01,=
334,2024,Tre Jones,PG,24,SAS,78,49,24.5,3.6,7.3,.498,0.6,2.2,.270,3.1,5.1,.594,.538,1.4,1.5,.885,0.7,2.4,3.1,4.9,0.8,0.1,1.4,1.4,9.2,0,.184,1.2602739726027397,0.01,0.01,=
335,2024,Naji Marshall,SF,26,NOP,73,43,19.1,2.8,6.2,.458,1.0,2.5,.385,1.9,3.7,.509,.536,1.5,1.9,.814,1.1,2.7,3.9,2.1,0.6,0.2,1.1,1.5,8.2,0,.600,1.3225806451612903,0.01,0.01,=
336,2024,Bryce McGowens,SG,21,CHO,77,55,17.6,1.8,4.2,.440,0.8,2.1,.379,1.1,2.1,.500,.534,0.8,1.2,.730,0.4,1.5,1.8,1.0,0.3,0.1,0.6,1.5,5.3,0,.216,1.2619047619047619,0.01,0.01,=
310,2024,Bobby Portis,PF,28,MIL,82,42,23.5,5.2,10.2,.506,1.1,2.9,.379,4.1,7.3,.557,.560,1.2,1.6,.774,1.6,5.2,6.9,1.0,0.7,0.5,1.0,2.6,12.6,0,.700,1.2352941176470589,0.01,0.01,=
311,2024,Precious Achiuwa,C-PF,24,NYK,75,43,16.2,2.7,5.9,.458,0.4,1.6,.269,2.3,4.3,.529,.495,0.8,1.4,.568,1.9,3.1,5.0,1.4,0.6,0.5,1.1,1.5,6.7,0,.590,1.135593220338983,0.01,0.01,=
321,2024,Cole Anthony,PG,23,ORL,81,43,24.8,4.7,10.6,.439,1.3,3.7,.340,3.4,6.9,.492,.499,3.1,3.7,.837,1.1,3.2,4.3,3.3,0.8,0.4,1.8,2.8,13.7,0,.538,1.2924528301886793,0.01,0.01,=
309,2024,Troy Brown Jr.,SF,24,MIN,76,46,11.9,1.5,3.4,.442,0.9,2.5,.370,0.6,1.0,.625,.575,0.6,0.7,.864,0.4,1.7,2.1,1.0,0.2,0.1,0.5,0.7,4.5,0,.718,1.3235294117647058,0.01,0.01,=
295,2024,Gary Trent Jr.,SG,25,TOR,78,48,25.7,4.1,10.1,.410,2.2,5.5,.398,2.0,4.7,.423,.517,0.8,1.2,.651,0.3,1.9,2.2,1.6,0.8,0.1,0.6,1.1,11.3,0,.385,1.118811881188119,0.01,0.01,=
308,2024,Shake Milton,SG,27,MIN,75,43,13.4,1.8,4.3,.403,0.4,1.5,.265,1.3,2.8,.478,.450,1.1,1.4,.818,0.2,1.2,1.4,1.3,0.4,0.1,0.8,1.3,5.0,0,.718,1.1627906976744187,0.01,0.01,=
283,2024,Moses Moody,SG,21,GSW,77,47,18.0,3.1,6.5,.482,1.1,3.1,.358,2.0,3.4,.595,.568,1.3,1.7,.789,1.1,2.0,3.1,0.8,0.7,0.3,0.7,1.4,8.7,0,.462,1.3384615384615384,0.01,0.01,=
284,2024,Stanley Umude,SG,24,DET,58,43,10.3,1.3,2.9,.455,0.9,1.8,.519,0.4,1.1,.353,.614,1.4,1.5,.913,0.2,1.7,1.9,0.5,0.3,0.3,0.7,1.6,5.0,0,.077,1.7241379310344829,0.01,0.01,=
285,2024,Bogdan Bogdanović,SG,31,ATL,80,46,28.1,6.2,14.4,.427,3.2,8.7,.369,2.9,5.7,.515,.538,1.7,1.9,.899,0.6,2.7,3.3,2.7,1.4,0.2,1.0,2.5,17.3,0,.395,1.2013888888888888,0.01,0.01,=
287,2024,Nick Smith Jr.,SG,19,CHO,67,45,14.8,2.7,6.2,.438,1.4,3.1,.456,1.3,3.1,.420,.551,0.1,0.2,.750,0.5,1.1,1.6,1.0,0.1,0.3,0.9,1.2,7.0,0,.216,1.129032258064516,0.01,0.01,=
288,2024,Landry Shamet,SG,26,WAS,66,44,16.0,2.8,6.2,.453,1.3,3.5,.372,1.5,2.7,.559,.558,0.7,1.0,.652,0.1,1.2,1.3,1.4,0.6,0.3,0.7,1.7,7.6,0,.184,1.225806451612903,0.01,0.01,=
289,2024,Mike Muscala,C,32,WAS,68,46,14.1,1.4,3.8,.367,0.6,2.1,.275,0.8,1.6,.487,.444,0.6,0.8,.750,0.9,2.2,3.1,0.9,0.2,0.3,0.7,1.3,4.0,0,.184,1.0526315789473684,0.01,0.01,=
290,2024,Max Christie,SG,20,LAL,72,48,17.8,1.9,4.7,.411,0.7,2.3,.324,1.2,2.4,.493,.489,0.7,0.9,.769,0.3,2.7,3.0,1.1,0.4,0.3,0.8,1.4,5.3,0,.475,1.127659574468085,0.01,0.01,=
291,2024,Jaden Hardy,SG,21,DAL,77,46,15.7,2.9,7.6,.381,1.3,3.8,.353,1.5,3.8,.409,.470,0.8,1.2,.683,0.3,1.8,2.1,1.7,0.3,0.1,0.8,1.2,7.9,0,.575,1.0394736842105263,0.01,0.01,=
292,2024,Davion Mitchell,PG,25,SAC,74,46,12.1,1.3,3.6,.366,0.5,1.8,.246,0.9,1.8,.491,.429,0.4,0.5,.733,0.1,0.8,0.9,1.7,0.2,0.1,0.5,1.1,3.5,0,.590,0.9722222222222222,0.01,0.01,=
293,2024,Amir Coffey,SF,26,LAC,70,49,15.4,1.6,3.1,.530,0.5,1.5,.341,1.1,1.6,.714,.614,0.5,0.6,.813,0.4,1.2,1.6,0.7,0.3,0.0,0.4,1.0,4.3,0,.641,1.3870967741935483,0.01,0.01,=
294,2024,Kris Murray,SF,23,POR,66,43,13.0,1.4,3.7,.384,0.6,1.9,.318,0.8,1.8,.452,.465,0.3,0.5,.727,0.8,1.1,1.9,0.7,0.9,0.1,0.4,0.7,3.8,0,.256,1.027027027027027,0.01,0.01,=
286,2024,Sasha Vezenkov,PF,28,SAC,73,43,12.8,2.0,4.7,.430,1.0,2.9,.345,1.0,1.8,.564,.535,0.2,0.3,.750,0.9,1.7,2.6,0.4,0.4,0.2,0.3,0.9,5.3,0,.590,1.127659574468085,0.01,0.01,=
296,2024,Larry Nance Jr.,C,31,NOP,65,42,17.1,2.1,3.6,.578,0.5,1.0,.478,1.6,2.6,.617,.645,0.8,1.0,.750,1.4,3.5,5.0,1.1,1.0,0.4,0.9,1.2,5.4,0,.600,1.5,0.01,0.01,=
302,2024,David Roddy,PF,22,MEM,79,52,22.2,3.0,7.2,.415,1.0,3.2,.307,2.0,4.0,.500,.483,0.9,1.3,.711,0.9,2.8,3.7,1.3,0.6,0.3,0.9,1.3,7.8,0,.359,1.0833333333333333,0.01,0.01,=
306,2024,Jae'Sean Tate,SF,28,HOU,80,53,19.1,1.9,4.0,.490,0.5,1.6,.321,1.4,2.4,.598,.552,0.6,0.8,.714,1.1,2.6,3.6,1.0,0.8,0.2,0.5,2.5,4.9,0,.500,1.225,0.01,0.01,=
297,2024,Seth Curry,SG,33,DAL,73,45,13.3,1.5,4.1,.375,0.9,2.3,.389,0.6,1.8,.357,.484,0.5,0.5,.875,0.4,1.1,1.5,0.8,0.5,0.1,0.5,1.0,4.5,0,.575,1.0975609756097562,0.01,0.01,=
304,2024,Josh Richardson,SG,30,MIA,73,47,27.0,3.6,8.1,.446,1.5,4.3,.344,2.1,3.8,.561,.537,1.4,1.5,.932,0.4,2.2,2.7,2.8,0.6,0.3,1.0,1.8,10.0,0,.590,1.234567901234568,0.01,0.01,=
303,2024,Kelly Olynyk,C,32,UTA,80,49,21.1,2.9,5.3,.553,0.8,1.8,.429,2.2,3.5,.618,.626,1.5,1.8,.855,1.4,3.8,5.2,4.5,0.9,0.3,1.7,2.7,8.1,0,.512,1.5283018867924527,0.01,0.01,=
305,2024,Naz Reid,C,24,MIN,82,43,22.5,4.8,9.5,.505,1.9,4.8,.403,2.9,4.7,.609,.607,1.2,1.5,.814,1.1,3.7,4.8,1.1,0.7,0.6,1.3,2.0,12.7,0,.718,1.3368421052631578,0.01,0.01,=
301,2024,Day'Ron Sharpe,C,22,BRK,81,45,16.0,3.0,5.2,.575,0.0,0.2,.143,3.0,5.0,.591,.578,1.5,2.4,.614,2.8,4.2,7.0,1.4,0.5,0.9,1.0,2.3,7.5,0,.421,1.4423076923076923,0.01,0.01,=
300,2024,Royce O'Neale,SF,30,BRK,81,50,25.2,2.5,6.6,.382,1.9,5.3,.367,0.6,1.4,.440,.528,0.3,0.5,.611,0.8,3.7,4.6,3.1,0.8,0.6,1.1,2.4,7.3,0,.421,1.1060606060606062,0.01,0.01,=
299,2024,Jordan Goodwin,PG,25,PHO,77,43,15.8,2.0,5.3,.370,0.7,2.3,.291,1.3,3.0,.431,.434,0.7,0.8,.852,1.1,2.3,3.4,2.2,0.6,0.2,0.8,1.2,5.3,0,.538,1.0,0.01,0.01,=
298,2024,Keon Ellis,SG,24,SAC,70,46,12.6,1.3,3.1,.434,1.0,2.5,.382,0.4,0.6,.667,.590,0.4,0.6,.647,0.3,1.0,1.4,1.3,0.5,0.4,0.6,1.4,4.0,0,.590,1.2903225806451613,0.01,0.01,=
307,2024,Julian Strawther,SF,21,DEN,74,41,13.9,2.2,5.6,.384,1.1,3.5,.322,1.0,2.1,.486,.484,0.5,0.7,.696,0.1,1.4,1.5,1.1,0.5,0.2,0.5,1.4,5.9,0,.683,1.0535714285714286,0.01,0.01,=
457,2024,E.J. Liddell,PF,23,NOP,48,42,2.8,0.2,0.8,.200,0.0,0.7,.000,0.2,0.2,1.000,.200,0.3,0.3,1.000,0.0,0.5,0.5,0.2,0.0,0.3,0.3,0.3,0.7,0,.600,0.8749999999999999,0.0,0.0,=
456,2024,Maxwell Lewis,SF,21,LAL,54,42,4.4,0.1,0.8,.111,0.1,0.3,.333,0.0,0.5,.000,.167,0.0,0.0,0,0.1,0.2,0.3,0.3,0.2,0.0,0.4,0.2,0.3,0,.475,0.37499999999999994,0.0,0.0,=
465,2024,Sandro Mamukelashvili,C,24,SAS,66,44,7.5,1.0,2.4,.396,0.4,1.3,.276,0.6,1.1,.542,.472,0.5,0.7,.750,0.7,1.4,2.1,1.1,0.2,0.4,0.4,0.9,2.8,0,.184,1.1666666666666667,0.0,0.0,=
458,2024,Gregory Jackson II,PF,19,MEM,50,43,8.1,1.9,4.4,.419,0.6,1.6,.364,1.3,2.9,.450,.484,0.3,0.4,.667,0.9,1.1,2.0,0.3,0.1,0.4,0.4,0.4,4.6,0,.359,1.0454545454545452,0.0,0.0,=
459,2024,Chris Livingston,SF,20,MIL,53,42,4.5,0.6,1.0,.636,0.1,0.1,1.000,0.5,0.9,.600,.682,0.2,0.2,1.000,0.2,0.8,1.0,0.4,0.2,0.0,0.3,0.3,1.5,0,.700,1.5,0.0,0.0,=
460,2024,Kenneth Lofton Jr.,PF,21,PHI,61,45,6.4,0.9,2.4,.359,0.2,0.6,.300,0.7,1.8,.379,.397,0.5,0.9,.533,0.1,0.9,1.1,0.9,0.2,0.2,0.5,0.9,2.4,0,.649,1.0,0.0,0.0,=
461,2024,Robin Lopez,C,35,MIL,52,42,2.5,0.2,0.5,.400,0.2,0.4,.500,0.0,0.1,.000,.600,0.2,0.2,1.000,0.0,0.2,0.2,0.2,0.0,0.1,0.1,0.3,0.8,0,.700,1.6,0.0,0.0,=
462,2024,Jay Huff,C,25,DEN,46,41,2.4,0.4,0.8,.500,0.0,0.4,.000,0.4,0.4,1.000,.500,0.0,0.0,0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.6,0.8,0,.683,1.0,0.0,0.0,=
463,2024,Seth Lundy,SF,23,ATL,51,44,6.6,0.4,2.0,.214,0.3,1.6,.182,0.1,0.4,.333,.286,0.4,0.6,.750,0.1,0.6,0.7,0.0,0.0,0.0,0.1,0.9,1.6,0,.395,0.8,0.0,0.0,=
464,2024,Jett Howard,SF,20,ORL,52,43,4.0,0.6,1.8,.313,0.3,1.3,.250,0.2,0.4,.500,.406,0.1,0.2,.500,0.1,0.3,0.4,0.3,0.0,0.0,0.2,0.1,1.6,0,.538,0.888888888888889,0.0,0.0,=
469,2024,Gui Santos,PF,21,GSW,48,43,6.4,0.8,2.0,.400,0.2,1.2,.167,0.6,0.8,.750,.450,1.2,1.2,1.000,0.8,1.4,2.2,0.4,0.0,0.0,0.4,0.6,3.0,0,.462,1.5,0.0,0.0,=
466,2024,Tre Mann,PG,22,OKC,57,44,9.2,1.5,3.1,.500,0.6,1.5,.421,0.9,1.6,.571,.600,0.1,0.1,1.000,0.3,1.5,1.8,1.5,0.2,0.0,0.7,0.2,3.8,0,.711,1.225806451612903,0.0,0.0,=
467,2024,Danny Green,SG,36,PHI,47,45,9.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0,.649,0.0,0.0,0.0,=
468,2024,A.J. Green,SG,24,MIL,67,42,7.6,1.2,2.6,.446,1.0,2.2,.429,0.2,0.4,.556,.631,0.2,0.2,1.000,0.2,0.6,0.8,0.6,0.0,0.0,0.0,0.8,3.4,0,.700,1.3076923076923077,0.0,0.0,=
470,2024,Jared Rhoden,SG,24,DET,48,43,6.0,1.0,1.8,.556,0.2,0.8,.250,0.8,1.0,.800,.611,0.4,0.4,1.000,0.2,0.6,0.8,0.6,0.0,0.0,0.4,0.8,2.6,0,.077,1.4444444444444444,0.0,0.0,=
471,2024,Micah Potter,PF,25,UTA,43,41,3.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,.512,0.0,0.0,0.0,=
472,2024,Dwight Powell,C,32,DAL,79,50,16.2,1.6,2.3,.702,0.0,0.1,.500,1.6,2.2,.707,.708,1.5,1.9,.761,1.8,2.1,3.9,1.7,0.6,0.4,0.5,2.1,4.7,0,.575,2.0434782608695654,0.0,0.0,=
473,2024,Norman Powell,SG,30,LAC,82,43,25.7,4.7,9.4,.504,2.1,4.5,.460,2.6,4.8,.545,.615,2.1,2.3,.899,0.2,2.2,2.4,1.0,0.6,0.4,0.9,1.8,13.6,0,.641,1.4468085106382977,0.0,0.0,=
