,Year,Name,Position,Age,Team,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star
42,2024,Miles Bridges,SF,25,CHO,72,70,36.2,7.4,15.6,.470,1.9,5.6,.342,5.4,10.0,.543,.532,3.0,3.5,.857,0.9,6.3,7.2,2.4,1.3,0.2,1.8,2.2,19.6,0,.292,1.2564102564102566,3.91
89,2024,Luguentz Dort,SF,24,OKC,81,81,28.3,3.4,7.8,.441,1.7,4.1,.400,1.8,3.7,.488,.547,2.2,2.7,.820,1.3,2.7,4.1,1.2,0.9,0.8,1.0,3.0,10.7,0,.667,1.3717948717948718,3.82
185,2024,Herbert Jones,SF,25,NOP,79,79,30.5,4.0,8.0,.500,1.1,3.3,.342,2.9,4.7,.611,.571,2.6,3.0,.857,1.3,3.1,4.4,2.7,1.7,1.2,1.4,3.4,11.7,0,.577,1.4625,3.75
11,2024,Deni Avdija,SF,23,WAS,82,82,26.8,4.6,9.1,.507,1.0,2.8,.348,3.7,6.4,.575,.559,1.6,1.9,.848,1.2,4.3,5.5,4.0,0.8,0.3,1.5,2.0,11.8,0,.167,1.2967032967032968,3.73
187,2024,Tyus Jones,PG,27,WAS,82,82,26.8,4.8,9.3,.514,1.1,3.2,.351,3.6,6.0,.600,.574,0.5,0.7,.765,0.3,2.8,3.0,5.1,1.0,0.3,0.8,0.8,11.2,0,.167,1.204301075268817,3.65
343,2024,Max Strus,SF,27,CLE,82,82,34.6,4.9,11.8,.412,2.7,7.7,.355,2.2,4.2,.519,.528,1.1,1.4,.806,0.8,4.7,5.5,3.8,0.9,0.5,1.5,3.0,13.6,0,.538,1.1525423728813557,3.48
33,2024,Goga Bitadze,C,24,ORL,80,77,21.2,3.0,5.0,.609,0.0,0.2,.200,3.0,4.8,.629,.614,1.5,2.2,.708,2.3,4.0,6.2,1.8,0.6,1.6,0.8,2.4,7.7,0,.667,1.54,3.38
65,2024,Jordan Clarkson,SG,31,UTA,75,75,30.8,6.1,15.2,.399,1.6,5.5,.295,4.4,9.6,.459,.453,2.9,3.5,.833,1.3,2.1,3.4,4.9,0.8,0.2,3.0,1.4,16.6,0,.346,1.092105263157895,3.15
36,2024,Bojan Bogdanović,PF,34,DET,63,62,30.3,7.0,14.3,.490,2.9,7.1,.400,4.1,7.1,.580,.590,3.7,4.9,.765,0.4,1.9,2.3,2.6,1.3,0.0,1.9,1.3,20.6,0,.077,1.4405594405594406,3.1
165,2024,De'Andre Hunter,SF,26,ATL,79,79,30.4,5.0,10.9,.458,1.8,4.7,.385,3.2,6.2,.515,.542,3.1,3.4,.907,0.6,3.5,4.1,1.3,0.9,0.3,1.5,3.0,14.9,0,.400,1.3669724770642202,3.07
329,2024,Shaedon Sharpe,SG,20,POR,82,81,36.5,6.0,14.7,.412,2.1,6.0,.352,3.9,8.6,.454,.484,3.5,4.2,.822,1.4,4.1,5.5,3.5,1.0,0.4,2.7,3.0,17.7,0,.250,1.2040816326530612,2.99
82,2024,Dexter Dennis,SG,24,DAL,59,57,3.5,1.0,3.0,.333,0.0,1.5,.000,1.0,1.5,.667,.333,0.0,0.5,.000,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,.640,0.6666666666666666,2.99
61,2024,Wendell Carter Jr.,C,24,ORL,63,63,29.4,3.4,9.0,.378,1.0,3.2,.313,2.4,5.8,.414,.433,1.6,2.8,.571,2.2,6.4,8.6,1.6,0.6,0.4,1.6,2.8,9.4,0,.667,1.0444444444444445,2.89
10,2024,OG Anunoby,SF,26,TOR,78,78,32.9,5.9,12.2,.480,2.5,6.5,.390,3.3,5.7,.583,.584,1.2,1.8,.684,1.0,3.2,4.2,2.5,1.0,0.6,1.7,2.4,15.5,0,.400,1.2704918032786885,2.75
45,2024,Dillon Brooks,SF,28,HOU,82,82,31.5,5.0,10.8,.466,1.8,4.7,.388,3.2,6.1,.526,.550,1.9,2.2,.837,0.8,2.9,3.6,1.7,0.9,0.0,2.0,4.0,13.8,0,.591,1.2777777777777777,2.7
357,2024,Obi Toppin,PF,25,IND,82,81,23.7,4.9,8.1,.608,1.2,3.3,.372,3.7,4.8,.767,.683,1.2,1.5,.784,1.0,2.4,3.4,1.3,0.5,0.5,0.8,2.1,12.3,0,.542,1.5185185185185186,2.67
180,2024,Jalen Johnson,SF,22,ATL,72,69,29.9,5.7,9.5,.594,1.1,2.7,.425,4.5,6.9,.660,.654,1.7,2.2,.758,1.3,5.9,7.3,2.4,1.1,1.0,2.0,2.2,14.1,0,.400,1.4842105263157894,2.62
5,2024,Grayson Allen,SG,28,PHO,77,77,33.3,4.2,8.4,.497,2.3,4.8,.479,1.9,3.6,.521,.635,1.8,2.0,.897,0.8,3.6,4.4,2.8,0.8,0.5,1.5,2.4,12.4,0,.520,1.4761904761904763,2.59
256,2024,Trey Murphy III,SF,23,NOP,62,56,26.0,5.3,10.7,.500,2.8,7.0,.405,2.5,3.7,.682,.633,2.8,3.3,.850,0.2,3.7,3.8,1.7,0.5,0.5,0.3,0.7,16.3,0,.577,1.5233644859813085,2.58
285,2024,Aleksej Pokusevski,PF,22,OKC,65,58,6.1,0.3,1.6,.182,0.1,1.1,.125,0.1,0.4,.333,.227,0.1,0.3,.500,0.3,0.9,1.1,0.7,0.0,0.1,0.4,0.7,0.9,0,.667,0.5625,2.57
110,2024,Alex Fudge,SF,20,LAL,60,56,3.5,0.3,1.5,.167,0.0,0.5,.000,0.3,1.0,.250,.167,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,0,.577,0.6666666666666666,2.45
364,2024,Jarred Vanderbilt,PF,24,LAL,61,56,14.6,0.4,2.0,.200,0.0,1.0,.000,0.4,1.0,.400,.200,0.2,0.4,.500,1.0,3.6,4.6,1.0,0.4,0.4,0.2,1.6,1.0,0,.577,0.5,2.43
212,2024,Dereck Lively II,C,19,DAL,80,79,25.3,4.1,5.6,.734,0.0,0.1,.000,4.1,5.5,.746,.734,0.7,1.3,.586,2.9,4.9,7.7,1.1,0.7,1.6,1.2,3.0,8.9,0,.640,1.5892857142857144,2.4
224,2024,Boban Marjanović,C,35,HOU,63,60,6.7,1.7,3.0,.556,0.0,0.3,.000,1.7,2.7,.625,.556,0.0,0.3,.000,0.7,2.0,2.7,1.0,0.0,0.3,0.0,0.7,3.3,0,.591,1.0999999999999999,2.39
184,2024,Derrick Jones Jr.,SF,26,DAL,81,80,24.1,3.6,7.4,.483,1.6,4.4,.371,2.0,3.0,.644,.593,1.2,1.6,.737,1.1,2.5,3.7,1.0,0.8,0.8,0.9,1.6,10.0,0,.640,1.3513513513513513,2.36
20,2024,Harrison Barnes,PF,31,SAC,82,82,30.5,3.9,8.3,.470,1.8,4.5,.385,2.1,3.7,.573,.576,1.8,2.2,.827,1.0,2.4,3.3,1.5,0.7,0.2,0.8,1.1,11.3,0,.625,1.3614457831325302,2.25
189,2024,Nikola Jović,PF,20,MIA,60,57,12.0,1.0,3.0,.333,0.8,1.8,.429,0.3,1.3,.200,.458,0.8,1.0,.750,0.3,5.5,5.8,2.3,0.3,0.0,1.3,2.3,3.5,0,.577,1.1666666666666667,2.15
279,2024,Chris Paul,PG,38,GSW,79,64,26.9,3.1,7.6,.405,1.2,3.5,.338,1.9,4.1,.462,.482,1.4,1.5,.909,0.3,3.3,3.6,7.4,1.3,0.0,1.3,1.9,8.7,11,.440,1.144736842105263,2.09
286,2024,Jordan Poole,SG,24,WAS,81,81,29.3,6.1,14.8,.415,1.8,6.0,.304,4.3,8.8,.490,.476,3.0,3.4,.861,0.4,2.1,2.5,3.6,1.1,0.3,2.9,3.1,17.0,0,.167,1.1486486486486487,1.94
