,Year,Team,Wins,Losses,Percent,Games Back,PPG,OPPG,SRS
83,2024,Sacramento Kings,46,36,.561,11.0,116.6,114.8,2.29
84,2024,Golden State Warriors,46,36,.561,11.0,117.8,115.2,2.77
85,2024,Houston Rockets,41,41,.500,16.0,114.3,113.2,1.24
86,2024,Utah Jazz,31,51,.378,26.0,115.7,120.5,-4.22
87,2024,Memphis Grizzlies,27,55,.329,30.0,105.8,112.8,-6.57
88,2024,San Antonio Spurs,22,60,.268,35.0,112.1,118.6,-5.80
89,2024,Portland Trail Blazers,21,61,.256,36.0,106.4,115.4,-8.29
90,2023,Milwaukee Bucks,58,24,.707,—,116.9,113.3,3.61
91,2023,Boston Celtics,57,25,.695,1.0,117.9,111.4,6.38
92,2023,Philadelphia 76ers,54,28,.659,4.0,115.2,110.9,4.37
93,2023,Cleveland Cavaliers,51,31,.622,7.0,112.3,106.9,5.23
94,2023,New York Knicks,47,35,.573,11.0,116.0,113.1,2.99
95,2023,Brooklyn Nets,45,37,.549,13.0,113.4,112.5,1.03
96,2023,Miami Heat,44,38,.537,14.0,109.5,109.8,-0.13
97,2023,Atlanta Hawks,41,41,.500,17.0,118.4,118.1,0.32
98,2023,Toronto Raptors,41,41,.500,17.0,112.9,111.4,1.59
99,2023,Chicago Bulls,40,42,.488,18.0,113.1,111.8,1.37
100,2023,Indiana Pacers,35,47,.427,23.0,116.3,119.5,-2.91
101,2023,Washington Wizards,35,47,.427,23.0,113.2,114.4,-1.06
102,2023,Orlando Magic,34,48,.415,24.0,111.4,114.0,-2.39
103,2023,Charlotte Hornets,27,55,.329,31.0,111.0,117.2,-5.89
104,2023,Detroit Pistons,17,65,.207,41.0,110.3,118.5,-7.73
105,2023,Milwaukee Bucks,58,24,.707,—,116.9,113.3,3.61
106,2023,Boston Celtics,57,25,.695,1.0,117.9,111.4,6.38
107,2023,Philadelphia 76ers,54,28,.659,4.0,115.2,110.9,4.37
108,2023,Cleveland Cavaliers,51,31,.622,7.0,112.3,106.9,5.23
109,2023,New York Knicks,47,35,.573,11.0,116.0,113.1,2.99
110,2023,Brooklyn Nets,45,37,.549,13.0,113.4,112.5,1.03
111,2023,Miami Heat,44,38,.537,14.0,109.5,109.8,-0.13
112,2023,Atlanta Hawks,41,41,.500,17.0,118.4,118.1,0.32
113,2023,Toronto Raptors,41,41,.500,17.0,112.9,111.4,1.59
114,2023,Chicago Bulls,40,42,.488,18.0,113.1,111.8,1.37
115,2023,Indiana Pacers,35,47,.427,23.0,116.3,119.5,-2.91
116,2023,Washington Wizards,35,47,.427,23.0,113.2,114.4,-1.06
117,2023,Orlando Magic,34,48,.415,24.0,111.4,114.0,-2.39
118,2023,Charlotte Hornets,27,55,.329,31.0,111.0,117.2,-5.89
119,2023,Detroit Pistons,17,65,.207,41.0,110.3,118.5,-7.73
120,2023,Milwaukee Bucks,58,24,.707,—,116.9,113.3,3.61
121,2023,Boston Celtics,57,25,.695,1.0,117.9,111.4,6.38
122,2023,Philadelphia 76ers,54,28,.659,4.0,115.2,110.9,4.37
123,2023,Cleveland Cavaliers,51,31,.622,7.0,112.3,106.9,5.23
124,2023,New York Knicks,47,35,.573,11.0,116.0,113.1,2.99
125,2023,Brooklyn Nets,45,37,.549,13.0,113.4,112.5,1.03
126,2023,Miami Heat,44,38,.537,14.0,109.5,109.8,-0.13
127,2023,Atlanta Hawks,41,41,.500,17.0,118.4,118.1,0.32
128,2023,Toronto Raptors,41,41,.500,17.0,112.9,111.4,1.59
129,2023,Chicago Bulls,40,42,.488,18.0,113.1,111.8,1.37
130,2023,Indiana Pacers,35,47,.427,23.0,116.3,119.5,-2.91
131,2023,Washington Wizards,35,47,.427,23.0,113.2,114.4,-1.06
132,2023,Orlando Magic,34,48,.415,24.0,111.4,114.0,-2.39
133,2023,Charlotte Hornets,27,55,.329,31.0,111.0,117.2,-5.89
134,2023,Detroit Pistons,17,65,.207,41.0,110.3,118.5,-7.73
135,2023,Denver Nuggets,53,29,.646,—,115.8,112.5,3.04
136,2023,Memphis Grizzlies,51,31,.622,2.0,116.9,113.0,3.60
137,2023,Sacramento Kings,48,34,.585,5.0,120.7,118.1,2.30
138,2023,Phoenix Suns,45,37,.549,8.0,113.6,111.6,2.08
139,2023,Los Angeles Clippers,44,38,.537,9.0,113.6,113.1,0.31
140,2023,Golden State Warriors,44,38,.537,9.0,118.9,117.1,1.66
141,2023,Los Angeles Lakers,43,39,.524,10.0,117.2,116.6,0.43
142,2023,Minnesota Timberwolves,42,40,.512,11.0,115.8,115.8,-0.22
143,2023,New Orleans Pelicans,42,40,.512,11.0,114.4,112.5,1.63
144,2023,Oklahoma City Thunder,40,42,.488,13.0,117.5,116.4,0.96
145,2023,Dallas Mavericks,38,44,.463,15.0,114.2,114.1,-0.14
146,2023,Utah Jazz,37,45,.451,16.0,117.1,118.0,-1.03
147,2023,Portland Trail Blazers,33,49,.402,20.0,113.4,117.4,-3.96
148,2023,Houston Rockets,22,60,.268,31.0,110.7,118.6,-7.62
149,2023,San Antonio Spurs,22,60,.268,31.0,113.0,123.1,-9.82
150,2023,Denver Nuggets,53,29,.646,—,115.8,112.5,3.04
151,2023,Memphis Grizzlies,51,31,.622,2.0,116.9,113.0,3.60
152,2023,Sacramento Kings,48,34,.585,5.0,120.7,118.1,2.30
153,2023,Phoenix Suns,45,37,.549,8.0,113.6,111.6,2.08
154,2023,Los Angeles Clippers,44,38,.537,9.0,113.6,113.1,0.31
155,2023,Golden State Warriors,44,38,.537,9.0,118.9,117.1,1.66
156,2023,Los Angeles Lakers,43,39,.524,10.0,117.2,116.6,0.43
157,2023,Minnesota Timberwolves,42,40,.512,11.0,115.8,115.8,-0.22
158,2023,New Orleans Pelicans,42,40,.512,11.0,114.4,112.5,1.63
159,2023,Oklahoma City Thunder,40,42,.488,13.0,117.5,116.4,0.96
160,2023,Dallas Mavericks,38,44,.463,15.0,114.2,114.1,-0.14
161,2023,Utah Jazz,37,45,.451,16.0,117.1,118.0,-1.03
162,2023,Portland Trail Blazers,33,49,.402,20.0,113.4,117.4,-3.96
163,2023,Houston Rockets,22,60,.268,31.0,110.7,118.6,-7.62
164,2023,San Antonio Spurs,22,60,.268,31.0,113.0,123.1,-9.82
165,2023,Denver Nuggets,53,29,.646,—,115.8,112.5,3.04
166,2023,Memphis Grizzlies,51,31,.622,2.0,116.9,113.0,3.60
167,2023,Sacramento Kings,48,34,.585,5.0,120.7,118.1,2.30
168,2023,Phoenix Suns,45,37,.549,8.0,113.6,111.6,2.08
169,2023,Los Angeles Clippers,44,38,.537,9.0,113.6,113.1,0.31
170,2023,Golden State Warriors,44,38,.537,9.0,118.9,117.1,1.66
171,2023,Los Angeles Lakers,43,39,.524,10.0,117.2,116.6,0.43
172,2023,Minnesota Timberwolves,42,40,.512,11.0,115.8,115.8,-0.22
